날짜,시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
2019-09-11,강원,춘천시,10,1,1,10,0
2019-09-12,강원,춘천시,1,0,0,1,0
2019-09-13,강원,춘천시,3,0,0,3,1
2019-09-14,강원,춘천시,3,0,2,1,3
2019-09-15,강원,춘천시,6,0,1,14,0
2019-09-16,강원,춘천시,5,0,2,3,0
2019-09-17,강원,춘천시,3,0,1,3,0
2019-09-18,강원,춘천시,3,0,0,4,0
2019-09-19,강원,춘천시,3,0,1,3,0
2019-09-20,강원,춘천시,3,0,1,2,0
2019-09-21,강원,춘천시,9,1,2,8,0
2019-09-22,강원,춘천시,4,0,0,6,0
2019-09-23,강원,춘천시,4,0,2,6,0
2019-09-24,강원,춘천시,5,0,1,5,0
2019-09-25,강원,춘천시,5,0,0,9,1
2019-09-26,강원,춘천시,9,0,3,10,2
2019-09-27,강원,춘천시,4,0,0,4,0
2019-09-28,강원,춘천시,2,0,0,4,0
2019-09-29,강원,춘천시,8,0,4,7,0
2019-09-30,강원,춘천시,6,0,1,8,0
2019-10-01,강원,춘천시,7,0,1,8,0
2019-10-02,강원,춘천시,11,0,3,13,0
2019-10-03,강원,춘천시,5,0,0,7,0
2019-10-04,강원,춘천시,9,0,2,11,1
2019-10-05,강원,춘천시,5,0,2,5,0
2019-10-07,강원,춘천시,13,0,6,11,4
2019-10-08,강원,춘천시,7,0,0,10,0
2019-10-09,강원,춘천시,5,0,0,5,0
2019-10-10,강원,춘천시,5,0,2,3,1
2019-10-11,강원,춘천시,4,0,0,3,1
2019-10-12,강원,춘천시,3,0,1,3,0
2019-10-13,강원,춘천시,7,0,1,11,0
2019-10-14,강원,춘천시,1,0,0,2,0
2019-10-15,강원,춘천시,1,0,0,1,0
2019-10-16,강원,춘천시,5,0,1,5,0
2019-10-17,강원,춘천시,7,0,1,6,0
2019-10-18,강원,춘천시,7,0,2,9,0
2019-10-19,강원,춘천시,3,0,0,3,0
2019-10-20,강원,춘천시,2,0,0,2,0
2019-10-21,강원,춘천시,4,0,1,4,0
2019-10-22,강원,춘천시,4,1,1,2,0
2019-10-23,강원,춘천시,5,0,0,6,0
2019-10-24,강원,춘천시,2,0,0,2,0
2019-10-25,강원,춘천시,6,0,3,6,1
2019-10-26,강원,춘천시,4,0,1,4,0
2019-10-27,강원,춘천시,3,0,0,4,0
2019-10-28,강원,춘천시,6,0,1,5,0
