업소명,도로명주소,주요음식,신청일자,지정일자,재지정일자
구구집,"강원도 속초시 중앙로 341, 1층 (영랑동)",물회,2013-11-11,2013-11-11,2021-11-30
수빈이네찜,"강원도 속초시 동해대로3930번길 6, 1층 (조양동)",생선찜,2011-06-01,2011-07-05,2021-11-30
해안도로회집,강원도 속초시 영랑해안길 81 (영랑동),"회, 매운탕",2003-05-30,2003-07-01,2015-11-17
일송정,강원도 속초시 먹거리길 8 (교동),"생등심, 갈비",2007-06-07,2007-06-26,
운수대통,강원도 속초시 수복로 17 (교동),생고기,2003-05-30,2003-07-01,
닷지,강원도 속초시 먹거리7길 19 (교동),"생고기,갈비",2003-05-30,2003-07-01,
영동화로숯불구이,강원도 속초시 먹거리3길 13 (교동),"등심구이, 돼지갈비",2003-05-30,2003-07-01,2021-11-30
일월회집,강원도 속초시 장사항해안길 31 (장사동),"모둠회, 물회",2008-05-30,2008-06-26,2021-11-30
속초대게마을,"강원도 속초시 장사항해안길 5, 1~2층 (장사동)",회.매운탕,2003-05-30,2003-07-01,2015-11-17
초당할머니집,강원도 속초시 관광로 433 (노학동),"해장국,순두부",2007-05-30,2007-06-30,2008-06-26
송가네오리촌,강원도 속초시 도리원길 11-36 (노학동),"오리훈제,오리백숙",2009-06-08,2009-07-01,2015-11-17
우가,강원도 속초시 청초호반로 82 (조양동),"생고기,돼지갈비",2008-05-30,2008-06-26,2013-11-11
스타대게,강원도 속초시 장사항해안길 9 (장사동),,2004-05-30,2004-06-30,2005-06-30
도도염소탕속초점,강원도 속초시 청대마을1길 85-2 (조양동),생선회,2018-10-19,2018-12-07,
대선회집,강원도 속초시 영랑해안길 12 (동명동),"모둠회, 대게",2005-05-30,2005-06-30,2021-11-30
청진동해장국,강원도 속초시 동해대로 4066 (조양동),"해장국,감자탕",2006-05-30,2006-06-30,
이모네식당,강원도 속초시 영랑해안6길 16 (영랑동),생선찜,2010-06-24,2010-08-02,2021-11-30
춘리마라탕,강원도 속초시 먹거리6길 17-1 (교동),해물짬뽕,2016-09-29,2016-11-04,2018-12-07
소야동치미막국수,강원도 속초시 청초호반로 76 (조양동),"막국수, 메밀칼국수",2008-05-30,2008-06-26,2021-11-30
